  804 1 2  24 2 -1 0-1.
  804 2 2  24 2 -1 0-1.
  810 1 2  24 2 -1 0-1.
  810 2 2  24 2 -1 0-1.
  811 1 2  24 2 -1 0-1.
  812 1 2  24 2 -1 0-1.
  822 1 2  24 2 -1 0-1.
  823 1 2  24 2 -1 0-1.
  824 1 2  24 2 -1 0-1.
  824 2 2  24 2 -1 0-1.
  824 3 2  24 2 -1 0-1.
  825 1 2  24 2 -1 0-1.
  829 2 2  24 2 -1 0-1.
  830 1 2  24 2 -1 0-1.
  830 2 2  24 2 -1 0-1.
  831 1 2  24 2 -1 0-1.
  831 2 2  24 2 -1 0-1.
  831 3 2  24 2 -1 0-1.
  831 5 2  24 2 -1 0-1.
  831 6 2  24 2 -1 0-1.
  831 7 2  24 2 -1 0-1.
  835 1 2  24 2 -1 0-1.
  841 1 2  24 2 -1 0-1.
  842 1 2  24 2 -1 0-1.
  842 2 2  24 2 -1 0-1.
  844 1 2  24 2 -1 0-1.
  845 1 2  24 2 -1 0-1.
  846 1 2  24 2 -1 1-1.
  846 2 2  24 2 -1 1-1.
  847 1 2  24 1 30 0 0.
  847 2 2  24 2 -1 0-1.
  848 1 2  24 1 24 0 0.
  848 2 2  24 1 24 0 0.
  848 3 2  24 2 -1 0-1.
  848 4 2  24 1 24 0 0.
  849 1 2  24 2 -1 0-1.
  849 2 2  24 2 -1 0-1.
